,week_id,weekly_ufocount,weekly_pct_entrtm
0,2014-27,470,100.0
1,2015-45,406,86.38297872340425
2,2020-16,403,85.74468085106383
3,2013-27,399,84.8936170212766
4,2012-27,339,72.12765957446808
5,2010-26,321,68.29787234042553
6,2020-18,305,64.8936170212766
7,2015-27,292,62.12765957446808
8,2012-32,239,50.85106382978723
9,2011-27,238,50.638297872340424
10,2014-1,225,47.87234042553191
11,2020-10,224,47.659574468085104
12,2013-1,222,47.234042553191486
13,2019-21,214,45.53191489361702
14,2009-38,212,45.1063829787234
15,2013-52,211,44.8936170212766
16,2014-35,210,44.680851063829785
17,2014-25,207,44.04255319148936
18,2011-26,206,43.82978723404255
19,2020-17,205,43.61702127659574
20,2014-39,199,42.34042553191489
21,2014-34,198,42.12765957446808
22,2012-45,195,41.48936170212766
23,2016-30,194,41.27659574468085
24,2013-39,194,41.27659574468085
25,2012-1,193,41.06382978723404
26,2013-33,193,41.06382978723404
27,2020-33,190,40.42553191489362
28,2012-46,187,39.78723404255319
29,2012-33,185,39.361702127659576
30,2012-52,184,39.148936170212764
31,2012-25,182,38.723404255319146
32,2014-28,181,38.51063829787234
33,2020-13,179,38.08510638297872
34,2013-32,179,38.08510638297872
35,2020-15,177,37.659574468085104
36,2014-31,177,37.659574468085104
37,2013-43,175,37.234042553191486
38,2012-26,175,37.234042553191486
39,2012-37,174,37.02127659574468
40,2008-27,171,36.38297872340426
41,2013-34,171,36.38297872340426
42,2014-41,171,36.38297872340426
43,2013-48,168,35.744680851063826
44,2014-38,167,35.53191489361702
45,2012-34,167,35.53191489361702
46,2015-39,167,35.53191489361702
47,2009-27,166,35.31914893617021
48,2019-41,164,34.8936170212766
49,2014-43,164,34.8936170212766
50,2014-26,164,34.8936170212766
51,2014-36,164,34.8936170212766
52,2019-51,163,34.680851063829785
53,2014-42,161,34.25531914893617
54,2014-33,160,34.04255319148936
55,2013-41,160,34.04255319148936
56,2013-31,159,33.82978723404255
57,2013-44,158,33.61702127659574
58,2019-39,157,33.40425531914894
59,2014-37,156,33.191489361702125
60,2012-35,156,33.191489361702125
61,2015-38,156,33.191489361702125
62,2019-46,155,32.97872340425532
63,2014-21,155,32.97872340425532
64,2013-38,155,32.97872340425532
65,2020-32,154,32.76595744680851
66,2011-42,154,32.76595744680851
67,2013-40,152,32.340425531914896
68,2020-27,152,32.340425531914896
69,2010-27,152,32.340425531914896
70,2011-52,152,32.340425531914896
71,2014-29,152,32.340425531914896
72,2019-40,151,32.12765957446808
73,2014-8,151,32.12765957446808
74,2013-35,151,32.12765957446808
75,2013-47,150,31.914893617021274
76,2017-27,150,31.914893617021274
77,2012-28,149,31.702127659574465
78,2016-27,149,31.702127659574465
79,2019-27,147,31.27659574468085
80,2013-37,147,31.27659574468085
81,2011-35,147,31.27659574468085
82,2012-29,147,31.27659574468085
83,2019-50,147,31.27659574468085
84,2020-34,147,31.27659574468085
85,2013-28,146,31.06382978723404
86,2008-44,146,31.06382978723404
87,2012-42,145,30.851063829787233
88,2013-46,144,30.638297872340424
89,2014-16,144,30.638297872340424
90,2020-31,144,30.638297872340424
91,2020-29,144,30.638297872340424
92,2014-3,143,30.425531914893615
93,2013-45,143,30.425531914893615
94,2019-38,143,30.425531914893615
95,2019-47,143,30.425531914893615
96,2012-44,142,30.21276595744681
97,2015-32,142,30.21276595744681
98,2012-11,142,30.21276595744681
99,2014-15,142,30.21276595744681
100,2012-38,142,30.21276595744681
101,2013-25,141,30.0
102,2015-43,141,30.0
103,2015-42,141,30.0
104,2014-40,140,29.78723404255319
105,2014-30,139,29.574468085106382
106,2011-32,139,29.574468085106382
107,2015-41,138,29.361702127659573
108,2012-24,138,29.361702127659573
109,2013-42,138,29.361702127659573
110,2007-1,138,29.361702127659573
111,2016-32,138,29.361702127659573
112,2015-37,137,29.148936170212764
113,2017-51,137,29.148936170212764
114,2013-36,137,29.148936170212764
115,2013-30,137,29.148936170212764
116,2012-30,136,28.936170212765955
117,2012-31,136,28.936170212765955
118,2012-47,136,28.936170212765955
119,2014-23,135,28.72340425531915
120,2016-26,134,28.51063829787234
121,2013-50,134,28.51063829787234
122,2015-47,134,28.51063829787234
123,2012-41,133,28.29787234042553
124,2020-30,133,28.29787234042553
125,2010-28,132,28.085106382978722
126,2017-42,132,28.085106382978722
127,2007-25,132,28.085106382978722
128,2015-33,132,28.085106382978722
129,2014-24,131,27.872340425531913
130,2014-32,131,27.872340425531913
131,2012-50,130,27.659574468085104
132,2009-37,130,27.659574468085104
133,2012-23,130,27.659574468085104
134,2014-17,130,27.659574468085104
135,2014-5,129,27.446808510638295
136,2014-4,129,27.446808510638295
137,2011-51,128,27.23404255319149
138,2012-51,128,27.23404255319149
139,2013-22,127,27.02127659574468
140,2011-33,127,27.02127659574468
141,2017-49,127,27.02127659574468
142,2016-35,127,27.02127659574468
143,2012-40,126,26.80851063829787
144,2011-34,126,26.80851063829787
145,2012-16,126,26.80851063829787
146,2014-14,126,26.80851063829787
147,2015-31,126,26.80851063829787
148,2012-43,124,26.382978723404253
149,2020-8,124,26.382978723404253
150,2013-29,124,26.382978723404253
151,2013-23,123,26.170212765957444
152,2014-18,123,26.170212765957444
153,2016-39,123,26.170212765957444
154,2010-32,123,26.170212765957444
155,2012-39,123,26.170212765957444
156,2008-31,123,26.170212765957444
157,2014-50,123,26.170212765957444
158,2008-47,122,25.95744680851064
159,2017-39,122,25.95744680851064
160,2020-2,121,25.74468085106383
161,2016-42,121,25.74468085106383
162,2012-49,121,25.74468085106383
163,2016-38,120,25.53191489361702
