,year_id,yearly_ufocount,yearly_pct_entrtm
0,2014,7431,100.0
1,2012,6867,92.41017359709325
2,2013,6602,88.84403175884806
3,2015,5880,79.12797739200646
4,2016,4848,65.24020993136858
5,2011,4814,64.78266720495222
6,2019,4771,64.20401022742564
7,2020,4639,62.42766787780918
8,2008,4364,58.726954649441524
9,2017,4296,57.8118691966088
10,2009,3969,53.41138473960436
11,2010,3911,52.63087067689409
12,2007,3788,50.975642578387834
13,2018,2744,36.926389449603015
14,2006,2641,35.54030413134168
