,startdateweek,weekly_ufocount,weekly_ufopct,year,month,weeknum,week_id
89,2013-11-17,144,30.638297872340427,2013,11,46,2013-46
90,2014-04-20,144,30.638297872340427,2014,4,16,2014-16
91,2020-08-02,144,30.638297872340427,2020,8,31,2020-31
92,2020-07-19,144,30.638297872340427,2020,7,29,2020-29
93,2019-09-22,143,30.425531914893607,2019,9,38,2019-38
94,2019-11-24,143,30.425531914893607,2019,11,47,2019-47
95,2013-11-10,143,30.425531914893607,2013,11,45,2013-45
96,2014-01-19,143,30.425531914893607,2014,1,3,2014-3
97,2012-11-04,142,30.21276595744681,2012,11,44,2012-44
98,2014-04-13,142,30.21276595744681,2014,4,15,2014-15
99,2012-09-23,142,30.21276595744681,2012,9,38,2012-38
100,2012-03-18,142,30.21276595744681,2012,3,11,2012-11
101,2015-08-09,142,30.21276595744681,2015,8,32,2015-32
102,2013-06-23,141,30.0,2013,6,25,2013-25
103,2015-10-18,141,30.0,2015,10,42,2015-42
104,2015-10-25,141,30.0,2015,10,43,2015-43
105,2014-10-05,140,29.78723404255319,2014,10,40,2014-40
106,2011-08-14,139,29.574468085106385,2011,8,32,2011-32
107,2014-07-27,139,29.574468085106385,2014,7,30,2014-30
108,2013-10-20,138,29.36170212765957,2013,10,42,2013-42
109,2016-08-14,138,29.36170212765957,2016,8,32,2016-32
110,2015-10-11,138,29.36170212765957,2015,10,41,2015-41
111,2007-01-07,138,29.36170212765957,2007,1,1,2007-1
112,2012-06-17,138,29.36170212765957,2012,6,24,2012-24
113,2017-12-24,137,29.148936170212764,2017,12,51,2017-51
114,2013-07-28,137,29.148936170212764,2013,7,30,2013-30
115,2013-09-08,137,29.148936170212764,2013,9,36,2013-36
116,2015-09-13,137,29.148936170212764,2015,9,37,2015-37
117,2012-08-05,136,28.93617021276595,2012,8,31,2012-31
118,2012-07-29,136,28.93617021276595,2012,7,30,2012-30
119,2012-11-25,136,28.93617021276595,2012,11,47,2012-47
120,2014-06-08,135,28.723404255319146,2014,6,23,2014-23
121,2013-12-15,134,28.510638297872337,2013,12,50,2013-50
122,2015-11-22,134,28.510638297872337,2015,11,47,2015-47
123,2016-07-03,134,28.510638297872337,2016,7,26,2016-26
124,2012-10-14,133,28.29787234042553,2012,10,41,2012-41
125,2020-07-26,133,28.29787234042553,2020,7,30,2020-30
126,2010-07-18,132,28.085106382978722,2010,7,28,2010-28
127,2015-08-16,132,28.085106382978722,2015,8,33,2015-33
128,2017-10-22,132,28.085106382978722,2017,10,42,2017-42
129,2007-06-24,132,28.085106382978722,2007,6,25,2007-25
130,2014-08-10,131,27.872340425531913,2014,8,32,2014-32
131,2014-06-15,131,27.872340425531913,2014,6,24,2014-24
132,2014-04-27,130,27.659574468085108,2014,4,17,2014-17
133,2012-06-10,130,27.659574468085108,2012,6,23,2012-23
134,2012-12-16,130,27.659574468085108,2012,12,50,2012-50
135,2009-09-13,130,27.659574468085108,2009,9,37,2009-37
136,2014-01-26,129,27.446808510638288,2014,1,4,2014-4
137,2014-02-02,129,27.446808510638288,2014,2,5,2014-5
138,2011-12-25,128,27.23404255319149,2011,12,51,2011-51
139,2012-12-23,128,27.23404255319149,2012,12,51,2012-51
140,2017-12-10,127,27.02127659574468,2017,12,49,2017-49
141,2016-09-04,127,27.02127659574468,2016,9,35,2016-35
142,2011-08-21,127,27.02127659574468,2011,8,33,2011-33
143,2013-06-02,127,27.02127659574468,2013,6,22,2013-22
144,2011-08-28,126,26.80851063829787,2011,8,34,2011-34
