date,observed,predicted
2019-12-08,19.361702127659573,23.70880055912955
2019-12-15,31.276595744680854,22.434860989770037
2019-12-22,34.680851063829785,25.760850350425795
2019-12-29,23.617021276595747,27.86332814739115
2020-01-05,17.659574468085104,25.200225962274565
2020-01-12,25.74468085106383,22.608011611773318
2020-01-19,19.361702127659573,24.216434425318738
2020-01-26,10.0,22.174319699781936
2020-02-02,14.255319148936168,18.266813476649276
2020-02-09,17.02127659574468,18.020419881755334
2020-02-16,17.872340425531913,18.226277449878978
2020-02-23,26.38297872340425,18.310091554937948
2020-03-01,23.617021276595747,21.180797619533994
2020-03-08,47.6595744680851,21.271288429867866
2020-03-15,15.531914893617019,29.9491273490899
2020-03-22,19.361702127659573,22.29097924271401
2020-03-29,38.08510638297872,22.06786874080275
2020-04-05,25.106382978723406,27.82082729566271
2020-04-12,37.659574468085104,25.232842771527842
2020-04-19,85.74468085106382,29.297741625532396
2020-04-26,43.61702127659574,47.197977966117506
2020-05-03,64.8936170212766,39.88088378192036
2020-05-10,24.680851063829785,47.20973688329064
2020-05-17,25.53191489361702,36.128096081249865
2020-05-24,23.82978723404255,33.37311370431155
2020-05-31,17.659574468085104,30.60932628969422
2020-06-07,18.29787234042553,26.641031661322277
2020-06-14,20.638297872340427,24.68979912787165
2020-06-21,12.76595744680851,23.944032510602188
2020-06-28,18.72340425531915,20.376846325866744
2020-07-05,32.34042553191489,20.774539937038462
2020-07-12,23.40425531914893,24.96296858792052
2020-07-19,30.638297872340427,23.256653927811612
2020-07-26,28.29787234042553,25.628804491634416
2020-08-02,30.638297872340427,25.65835729159054
2020-08-09,32.76595744680851,26.79024842635591
2020-08-16,40.42553191489362,28.0629901134291
2020-08-23,31.276595744680854,31.366966927059654
2020-08-30,22.76595744680851,29.704799930425363
2020-09-06,2.7659574468085104,26.73715151222783
