,rel_val,topic,week_dt,year,month,week_of_year
43,2,ebola,2015-02-01,2015,2,5
44,1,ebola,2015-02-08,2015,2,6
45,1,ebola,2015-02-15,2015,2,7
46,1,ebola,2015-02-22,2015,2,8
47,1,ebola,2015-03-01,2015,3,9
48,1,ebola,2015-03-08,2015,3,10
49,1,ebola,2015-03-15,2015,3,11
50,1,ebola,2015-03-22,2015,3,12
51,1,ebola,2015-03-29,2015,3,13
0,<1,corona,2019-09-01,2019,9,35
1,<1,corona,2019-09-08,2019,9,36
2,<1,corona,2019-09-15,2019,9,37
3,<1,corona,2019-09-22,2019,9,38
4,<1,corona,2019-09-29,2019,9,39
5,<1,corona,2019-10-06,2019,10,40
6,<1,corona,2019-10-13,2019,10,41
7,<1,corona,2019-10-20,2019,10,42
8,<1,corona,2019-10-27,2019,10,43
9,<1,corona,2019-11-03,2019,11,44
10,<1,corona,2019-11-10,2019,11,45
11,<1,corona,2019-11-17,2019,11,46
12,<1,corona,2019-11-24,2019,11,47
13,<1,corona,2019-12-01,2019,12,48
14,<1,corona,2019-12-08,2019,12,49
15,<1,corona,2019-12-15,2019,12,50
16,<1,corona,2019-12-22,2019,12,51
17,<1,corona,2019-12-29,2019,12,52
18,<1,corona,2020-01-05,2020,1,1
19,<1,corona,2020-01-12,2020,1,2
20,4,corona,2020-01-19,2020,1,3
21,13,corona,2020-01-26,2020,1,4
22,8,corona,2020-02-02,2020,2,5
23,6,corona,2020-02-09,2020,2,6
24,4,corona,2020-02-16,2020,2,7
25,17,corona,2020-02-23,2020,2,8
26,32,corona,2020-03-01,2020,3,9
27,77,corona,2020-03-08,2020,3,10
28,100,corona,2020-03-15,2020,3,11
29,75,corona,2020-03-22,2020,3,12
30,59,corona,2020-03-29,2020,3,13
31,56,corona,2020-04-05,2020,4,14
32,44,corona,2020-04-12,2020,4,15
33,35,corona,2020-04-19,2020,4,16
34,20,corona,2020-04-26,2020,4,17
35,18,corona,2020-05-03,2020,5,18
36,16,corona,2020-05-10,2020,5,19
37,13,corona,2020-05-17,2020,5,20
38,11,corona,2020-05-24,2020,5,21
39,8,corona,2020-05-31,2020,5,22
40,9,corona,2020-06-07,2020,6,23
41,10,corona,2020-06-14,2020,6,24
42,11,corona,2020-06-21,2020,6,25
43,13,corona,2020-06-28,2020,6,26
44,12,corona,2020-07-05,2020,7,27
45,12,corona,2020-07-12,2020,7,28
46,9,corona,2020-07-19,2020,7,29
47,8,corona,2020-07-26,2020,7,30
48,7,corona,2020-08-02,2020,8,31
49,6,corona,2020-08-09,2020,8,32
50,5,corona,2020-08-16,2020,8,33
51,5,corona,2020-08-23,2020,8,34
52,4,corona,2020-08-30,2020,8,35
